Angle(Degrees)	Distance(cm)
0	10.1
2	15.1
4	135.2
6	89.2
8	136.3
10	116.1
12	6.4
14	1.0
16	0.8
18	1.0
20	0.9
22	4.6
24	24.0
26	29.6
28	32.5
30	29.8
32	28.9
34	26.9
36	25.6
38	23.3
40	21.0
42	19.6
44	3.4
46	20.5
48	134.1
50	135.2
52	1.6
54	2.3
56	1.5
58	3.2
60	2.7
62	2.3
64	3.3
66	3.8
68	4.1
70	4.6
72	1.1
74	1.5
76	1.8
78	5.1
80	3.1
82	2.5
84	1.4
86	1.4
88	1.6
90	1.6
92	1.5
94	1.5
96	1.6
98	1.6
100	1.6
102	1.7
104	1.7
106	1.9
108	1.9
110	2.1
112	2.3
114	2.3
116	2.5
118	2.8
120	3.1
122	3.2
124	3.6
126	3.9
128	4.4
130	5.0
132	5.8
134	6.3
136	7.1
138	8.0
140	9.0
142	10.8
144	44.7
146	137.9
148	138.5
150	129.9
152	108.1
154	113.6
156	96.6
158	105.9
160	136.3
162	134.1
164	136.3
166	136.3
168	135.7
170	134.1
172	136.8
174	137.4
176	135.2
178	97.4
180	136.3
END
